BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,
CA_5-STATES_NETWORK_CLEAN_54_PERFEITO_SAVE_Block_Arduino_24_PERFECT_DOC_BREED_aligned_BEHAVIOR_work.nlogo,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,
06/29/2022 20:38:59:599 -0300,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,
[run number],radius-of-interaction,movement-steps,load-graphml,N-turtles,percentage-unhappy,clear-before-generating,arduino-on,mutated,links-to-use,frac-providers,step,mood_clients,mood_providers,cluster_coef,paths,closeness,betweenness
1,1.5,1,false,80,10,true,false,0,undirected,0.05,0,2.736842105263158,2.5,0.1125,0,0.3916666666666667,0.0125
5,1.5,1,false,80,20,true,false,0,undirected,0.05,0,2.5789473684210527,2,0.1125,0,0.3520833333333333,75
9,1.5,1,false,80,30,true,false,0,undirected,0.15,0,2.2058823529411766,2.1666666666666665,0.07916666666666666,0,0.30625,0.0125
11,1.5,1,false,80,40,true,false,0,undirected,0.05,0,1.868421052631579,3.5,0,0,0.12916666666666668,0.0125
3,1.5,1,false,80,10,true,false,0,undirected,0.15,0,2.6911764705882355,2.25,0,0,0.25761904761904764,125
10,1.5,1,false,80,40,true,false,0,undirected,0.05,0,1.8421052631578947,2.75,0.0375,0,0.36250000000000004,0.0625
8,1.5,1,false,80,30,true,false,0,undirected,0.05,0,2.1973684210526314,3.75,0,0,0.10416666666666666,0.0125
7,1.5,1,false,80,30,true,false,0,undirected,0.05,0,2.25,1.75,0.041666666666666664,0,0.24375,0.0125
12,1.5,1,false,80,40,true,false,0,undirected,0.15,0,1.8529411764705883,3,0.029166666666666667,0,0.29708333333333337,0.05
6,1.5,1,false,80,20,true,false,0,undirected,0.15,0,2.3970588235294117,3.1666666666666665,0,0,0.3083333333333333,25
2,1.5,1,false,80,10,true,false,0,undirected,0.05,0,2.6710526315789473,2.25,0,0,0.21249999999999997,0.0375
4,1.5,1,false,80,20,true,false,0,undirected,0.05,0,2.513157894736842,2,0,0,0.25416666666666665,0.0125
1,1.5,1,false,80,10,true,false,0,undirected,0.05,1,1.618421052631579,1.5,0.1125,false,0.3541666666666667,0.1125
7,1.5,1,false,80,30,true,false,0,undirected,0.05,1,1.513157894736842,3.75,0.07916666666666666,false,0.2604166666666667,25
3,1.5,1,false,80,10,true,false,0,undirected,0.15,1,2.25,2.6666666666666665,0,false,0.28675595238095236,0.2125
2,1.5,1,false,80,10,true,false,0,undirected,0.05,1,2.013157894736842,1.75,75,false,0.22916666666666666,0.0125
11,1.5,1,false,80,40,true,false,0,undirected,0.05,1,1.3421052631578947,7.25,0,false,0.15833333333333335,25
8,1.5,1,false,80,30,true,false,0,undirected,0.05,1,1.763157894736842,4.75,0,false,0.10625,0.05
6,1.5,1,false,80,20,true,false,0,undirected,0.15,1,1.6176470588235294,2.5,0.0375,false,0.31666666666666665,0.0125
9,1.5,1,false,80,30,true,false,0,undirected,0.15,1,1.5588235294117647,2.9166666666666665,0.07916666666666666,false,0.3395833333333333,0.0375
4,1.5,1,false,80,20,true,false,0,undirected,0.05,1,1.9473684210526316,2,0,false,0.25625,0.05
5,1.5,1,false,80,20,true,false,0,undirected,0.05,1,1.868421052631579,1.75,0.14166666666666666,false,0.35958333333333337,0.05
10,1.5,1,false,80,40,true,false,0,undirected,0.05,1,1.2894736842105263,6.75,0.0875,false,0.37916666666666676,0.05
12,1.5,1,false,80,40,true,false,0,undirected,0.15,1,1.338235294117647,3.4166666666666665,0.06666666666666667,false,0.3431691919191919,0.3
1,1.5,1,false,80,10,true,false,0,undirected,0.05,2,2.210526315789474,2,0.15,false,0.4458333333333333,125
3,1.5,1,false,80,10,true,false,0,undirected,0.15,2,2.573529411764706,2.75,0.020833333333333332,false,0.2906459859584859,175
7,1.5,1,false,80,30,true,false,0,undirected,0.05,2,1.9473684210526316,3.75,0.07916666666666666,false,0.3145833333333333,0.0375
11,1.5,1,false,80,40,true,false,0,undirected,0.05,2,1.9210526315789473,6.75,0.0375,false,0.29166666666666663,0.0125
5,1.5,1,false,80,20,true,false,0,undirected,0.05,2,2.3157894736842106,2.25,0.14166666666666666,false,0.41583333333333333,0.1
4,1.5,1,false,80,20,true,false,0,undirected,0.05,2,1.9605263157894737,2.5,0,false,0.33125,0.05
6,1.5,1,false,80,20,true,false,0,undirected,0.15,2,2.5,3.9166666666666665,0.0375,false,0.3416666666666667,0.0125
10,1.5,1,false,80,40,true,false,0,undirected,0.05,2,1.7763157894736843,6.5,0.0875,false,0.41,75
2,1.5,1,false,80,10,true,false,0,undirected,0.05,2,2.6447368421052633,1.25,75,false,0.2541666666666667,0.0125
9,1.5,1,false,80,30,true,false,0,undirected,0.15,2,2.073529411764706,3.5833333333333335,0.07083333333333333,false,0.31525793650793654,125
8,1.5,1,false,80,30,true,false,0,undirected,0.05,2,1.8157894736842106,6.25,0,false,0.13125,0.05
12,1.5,1,false,80,40,true,false,0,undirected,0.15,2,1.6176470588235294,3.1666666666666665,0.06666666666666667,false,0.3702525252525252,0.3375
1,1.5,1,false,80,10,true,false,0,undirected,0.05,3,2.4210526315789473,3,0.15,false,0.44857142857142857,275
3,1.5,1,false,80,10,true,false,0,undirected,0.15,3,2.4411764705882355,2.9166666666666665,0.04375,false,0.3238771645021645,225
11,1.5,1,false,80,40,true,false,0,undirected,0.05,3,1.7894736842105263,9.75,0.0375,false,0.3166666666666667,0.0125
6,1.5,1,false,80,20,true,false,0,undirected,0.15,3,2.3676470588235294,3.9166666666666665,0.0375,false,0.3416666666666667,0.0125
5,1.5,1,false,80,20,true,false,0,undirected,0.05,3,2.4078947368421053,2.25,0.15416666666666665,false,0.4708333333333334,0.0875
9,1.5,1,false,80,30,true,false,0,undirected,0.15,3,2.0441176470588234,4,75,false,0.3204761904761905,0.1
7,1.5,1,false,80,30,true,false,0,undirected,0.05,3,1.9736842105263157,5.75,0.07916666666666666,false,0.3204166666666667,0.0625
