"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK_CLEAN_55_PERFEITO_SAVE_Block_Arduino_25_PERFECT_DOC_BREED_aligned_BEHAVIOR_work2_SIMILARITY_SEGREGATION_CENTROIDE_work.nlogo"
"experiment_centroid"
"06/30/2022 20:22:16:617 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","( sum [ state ] of turtles with [ breed = clients ] ) /  (( 1 - frac-providers) * N-turtles)","( sum [ state ] of turtles with [ breed = service-providers ] ) /  ( frac-providers * N-turtles )","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","0","2.6315789473684212","2.25","0.09583333333333333","0","0.3983333333333334","0.075","0","0"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","0","2.8088235294117645","2.5833333333333335","0","0","0.30416666666666664","0.0125","0","0"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","0","2.763157894736842","1.5","0.0375","0","0.2625","0","0","0"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","0","2.1842105263157894","3.25","0.075","0","0.3430357142857143","0.1875","0","0"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","0","2.723684210526316","1.5","0.0375","0","0.31666666666666665","0.0125","0","0"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","0","2.323529411764706","1.9166666666666667","0.075","0","0.30416666666666664","0.0125","0","0"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","0","2.5657894736842106","1","0","0","0.35","0.1375","0","0"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","0","1.8676470588235294","2.6666666666666665","0.0375","0","0.1958333333333333","0.025","0","0"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","0","2.1578947368421053","2","0.0375","0","0.2229166666666667","0.0625","0","0"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","0","2.411764705882353","2.5833333333333335","0.0375","0","0.25625","0.0875","0","0"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","0","1.9210526315789473","2","0.0375","0","0.24166666666666664","0.0125","0","0"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","0","1.8421052631578947","2.25","0.0375","0","0.275","0.0375","0","0"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","1","1.986842105263158","0.5","0.10833333333333335","false","0.4033333333333333","0.0625","0.9319211108723412","0.003217273936850407"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","1","1.75","2.0833333333333335","0","false","0.30625","0.05","1.712977541953983","-2.520704785606842E-4"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","1","2.1447368421052633","1","0.0375","false","0.32291666666666663","0.0625","-0.17760002493653232","-0.9962787071357647"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","1","1.8157894736842106","0.5","0.0375","false","0.2916666666666667","0.0125","0.7405562105645018","0.7700376387196404"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","1","1.6176470588235294","2.5","0.1125","false","0.36666666666666664","0.0125","0.6927195429721047","-0.8752628033593698"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","1","1.6470588235294117","3.0833333333333335","0.07916666666666666","false","0.30208333333333337","0.075","0.31967086855128696","-1.4004071356097676"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","1","1.161764705882353","4.75","0.0875","false","0.2208333333333333","0.025","-1.1295708822801465","2.3928135107659942"
