"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK__61_Arduino_31_COMPLETE_work.nlogo"
"experiment_centroid_links_mutated"
"07/04/2022 22:22:54:352 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","mean [ state ] of turtles with [ breed = clients ]","mean [ state ] of turtles with [ breed = service-providers ]","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y","count links"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","0","2.776315789473684","2.75","0","0","0.3104166666666667","0.0625","0","0","15"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","0","2.6315789473684212","2.5","0","0","0.34791666666666665","0.0875","0","0","19"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","0","2.6052631578947367","3","0","0","0.3041666666666667","0.0125","0","0","13"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","0","2.8088235294117645","2.3333333333333335","0.029166666666666667","0","0.2575","0.1125","0","0","17"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","0","1.8823529411764706","2.25","0.0375","0","0.3416666666666667","0.0125","0","0","16"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","0","2.0526315789473686","1.5","0.0375","0","0.31666666666666665","0.0125","0","0","15"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","0","2.5972222222222223","3.125","0.075","0","0.2729166666666667","0.0875","0","0","19"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","0","2.676470588235294","2.8333333333333335","0","0","0.325","0","0","0","13"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","0","1.8194444444444444","1.875","0","0","0.38333333333333336","0.025","0","0","17"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","0","2.6666666666666665","2.75","0","0","0.18958333333333333","0.075","0","0","11"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","0","2.8055555555555554","2.875","0","0","0.23811466311466306","0.2","0","0","13"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","0","2.8088235294117645","2.8333333333333335","0.0375","0","0.3291666666666667","0.05","0","0","18"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","1","2.1842105263157894","3","0.0375","false","0.38125","0.075","-1.1638924409862264","-0.531331426997524","21"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","1","1.8055555555555556","1.25","0.14583333333333331","false","0.3983333333333334","0.075","0.13185692899317014","0.5190899995369831","28"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","1","2.1029411764705883","2.4166666666666665","0.0375","false","0.3708333333333333","0.025","1.2327157187154167","-0.9898959409429352","18"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","1","2.9210526315789473","2","0","false","0.2986453823953824","0.325","-0.8275643469542284","-0.4552073923698625","19"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","1","3.013888888888889","2.75","0","false","0.29228132978132976","0.2125","0.7370070414388283","-0.40937783235491354","16"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","1","2.926470588235294","2.5833333333333335","0.029166666666666664","false","0.3654166666666667","0.1125","-0.4977195427659161","-0.13278638608699897","22"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","1","1.7894736842105263","3","0.06666666666666667","false","0.3095833333333333","0.05","-0.14888062410641334","-1.8081867631184014","18"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","1","2.0588235294117645","3","0","false","0.375","0","-0.21951818855671515","-0.376261249930768","15"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","1","3.161764705882353","2.3333333333333335","0.06666666666666667","false","0.31720238095238096","0.175","-0.6692987968642786","-0.9020309021186848","21"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","1","2.111111111111111","2","0","false","0.3916666666666667","0.05","0.022485324558996746","-0.03643487498355191","19"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","1","3.125","2.625","0","false","0.24375","0.0875","1.2342996991817312","-0.2314233338686809","14"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","1","3.486842105263158","3.25","0","false","0.29303571428571434","0.1875","-0.0450786680058078","-0.4161089972240749","17"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","2","2.2794117647058822","2.0833333333333335","0.075","false","0.4291666666666666","0.0125","1.2251709891804885","-0.9657645473864298","21"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","2","2.460526315789474","4","0.07083333333333333","false","0.36407196969696975","0.3375","-1.1849030770629463","-0.5855475963261254","25"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","2","2.361111111111111","2.375","0.18333333333333332","false","0.4066666666666666","0.0625","0.07885142748440735","0.5088156297022841","29"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","2","2.8947368421052633","3.25","0","false","0.3528120490620491","0.3375","-0.8471664291835591","-0.48024885775043663","22"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","2","2.3529411764705883","3.1666666666666665","0","false","0.3791666666666667","0.0125","-0.2078134566537943","-0.4077012089002171","16"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","2","3.1527777777777777","2.875","0","false","0.3297813297813298","0.25","0.7110169313014489","-0.37786090953762064","20"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","2","2.9558823529411766","3.25","0.029166666666666664","false","0.3675000000000001","0.15","-0.45975612646548214","-0.18384652745758695","23"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","2","2.9305555555555554","2.375","0","false","0.24720238095238095","0.2","1.2563083519654827","-0.2613926422695906","16"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","2","2.3815789473684212","2.25","0.11666666666666665","false","0.35208333333333336","0.0375","-0.16437783157079236","-1.7716660365486672","22"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","2","3.013157894736842","3.25","0","false","0.34303571428571433","0.1875","0.007568020207229154","-0.3125737125501932","19"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","2","3.1176470588235294","2.5","0.10416666666666666","false","0.385952380952381","0.225","-0.7219478349590872","-0.8214444271754735","27"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","2","2.0833333333333335","1.875","0","false","0.4000000000000001","0.075","0.041778886183151995","0.02463314678899233","21"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","3","2.0588235294117645","2.25","0.075","false","0.4291666666666667","0.0125","1.2873628660539667","-0.9561828807850358","21"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","3","2.5789473684210527","4","0.062499999999999986","false","0.37247745310245317","0.2625","-1.134903077062946","-0.5980475963261249","26"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","3","2.236111111111111","2.25","0.1875","false","0.46130952380952384","0.1","0.09135142748440757","0.5213156297022837","33"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","3","3.1052631578947367","4","0.010416666666666666","false","0.3908781459768301","0.6875","-0.8669441642469679","-0.4360998419315634","32"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","3","3.6315789473684212","3.5","0","false","0.38603132978132987","0.3","-0.03577688356657294","-0.2820062121970984","24"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","3","3.1805555555555554","3.125","0.075","false","0.3276979964479965","0.275","0.6945378571993459","-0.3246194293189456","23"
